user_id,day1,week1,day2,week2,day3,week3,day4,week4,day5,week5,day6,week6,day7,week7,day8,week8,day9,week9,day10,week10,day11,week11,day12,week12,day13,week13,day14,week14,day15,week15,day16,week16,day17,week17,day18,week18,day19,week19,day20,week20,day21,week21,day22,week22,day23,week23,day24,week24,day25,week25,day26,week26,day27,week27,day28,week28,day29,week29,day30,week30
744025,2022-05-02,1,2022-05-03,2,2022-05-04,3,2022-05-05,4,2022-05-06,5,2022-05-07,6,2022-05-08,7,2022-05-09,1,2022-05-10,2,2022-05-11,3,2022-05-12,4,2022-05-13,5,2022-05-14,6,2022-05-15,7,2022-05-16,1,2022-05-17,2,2022-05-18,3,2022-05-19,4,2022-05-20,5,2022-05-21,6,2022-05-22,7,2022-05-23,1,2022-05-24,2,2022-05-25,3,2022-05-26,4,2022-05-27,5,2022-05-28,6,2022-05-29,7,2022-05-30,1,2022-05-31,2
1270299,2022-05-02,1,2022-05-03,2,2022-05-04,3,2022-05-05,4,2022-05-06,5,2022-05-07,6,2022-05-08,7,2022-05-09,1,2022-05-10,2,2022-05-11,3,2022-05-12,4,2022-05-13,5,2022-05-14,6,2022-05-15,7,2022-05-16,1,2022-05-17,2,2022-05-18,3,2022-05-19,4,2022-05-20,5,2022-05-21,6,2022-05-22,7,2022-05-23,1,2022-05-24,2,2022-05-25,3,2022-05-26,4,2022-05-27,5,2022-05-28,6,2022-05-29,7,2022-05-30,1,2022-05-31,2
571220,2022-05-02,1,2022-05-03,2,2022-05-04,3,2022-05-05,4,2022-05-06,5,2022-05-07,6,2022-05-08,7,2022-05-09,1,2022-05-10,2,2022-05-11,3,2022-05-12,4,2022-05-13,5,2022-05-14,6,2022-05-15,7,2022-05-16,1,2022-05-17,2,2022-05-18,3,2022-05-19,4,2022-05-20,5,2022-05-21,6,2022-05-22,7,2022-05-23,1,2022-05-24,2,2022-05-25,3,2022-05-26,4,2022-05-27,5,2022-05-28,6,2022-05-29,7,2022-05-30,1,2022-05-31,2
1308501,2022-05-02,1,2022-05-03,2,2022-05-04,3,2022-05-05,4,2022-05-06,5,2022-05-07,6,2022-05-08,7,2022-05-09,1,2022-05-10,2,2022-05-11,3,2022-05-12,4,2022-05-13,5,2022-05-14,6,2022-05-15,7,2022-05-16,1,2022-05-17,2,2022-05-18,3,2022-05-19,4,2022-05-20,5,2022-05-21,6,2022-05-22,7,2022-05-23,1,2022-05-24,2,2022-05-25,3,2022-05-26,4,2022-05-27,5,2022-05-28,6,2022-05-29,7,2022-05-30,1,2022-05-31,2
745554,2022-05-02,1,2022-05-03,2,2022-05-04,3,2022-05-05,4,2022-05-06,5,2022-05-07,6,2022-05-08,7,2022-05-09,1,2022-05-10,2,2022-05-11,3,2022-05-12,4,2022-05-13,5,2022-05-14,6,2022-05-15,7,2022-05-16,1,2022-05-17,2,2022-05-18,3,2022-05-19,4,2022-05-20,5,2022-05-21,6,2022-05-22,7,2022-05-23,1,2022-05-24,2,2022-05-25,3,2022-05-26,4,2022-05-27,5,2022-05-28,6,2022-05-29,7,2022-05-30,1,2022-05-31,2
1031012,2022-05-02,1,2022-05-03,2,2022-05-04,3,2022-05-05,4,2022-05-06,5,2022-05-07,6,2022-05-08,7,2022-05-09,1,2022-05-10,2,2022-05-11,3,2022-05-12,4,2022-05-13,5,2022-05-14,6,2022-05-15,7,2022-05-16,1,2022-05-17,2,2022-05-18,3,2022-05-19,4,2022-05-20,5,2022-05-21,6,2022-05-22,7,2022-05-23,1,2022-05-24,2,2022-05-25,3,2022-05-26,4,2022-05-27,5,2022-05-28,6,2022-05-29,7,2022-05-30,1,2022-05-31,2
913297,2022-05-02,1,2022-05-03,2,2022-05-04,3,2022-05-05,4,2022-05-06,5,2022-05-07,6,2022-05-08,7,2022-05-09,1,2022-05-10,2,2022-05-11,3,2022-05-12,4,2022-05-13,5,2022-05-14,6,2022-05-15,7,2022-05-16,1,2022-05-17,2,2022-05-18,3,2022-05-19,4,2022-05-20,5,2022-05-21,6,2022-05-22,7,2022-05-23,1,2022-05-24,2,2022-05-25,3,2022-05-26,4,2022-05-27,5,2022-05-28,6,2022-05-29,7,2022-05-30,1,2022-05-31,2
266500,2022-05-02,1,2022-05-03,2,2022-05-04,3,2022-05-05,4,2022-05-06,5,2022-05-07,6,2022-05-08,7,2022-05-09,1,2022-05-10,2,2022-05-11,3,2022-05-12,4,2022-05-13,5,2022-05-14,6,2022-05-15,7,2022-05-16,1,2022-05-17,2,2022-05-18,3,2022-05-19,4,2022-05-20,5,2022-05-21,6,2022-05-22,7,2022-05-23,1,2022-05-24,2,2022-05-25,3,2022-05-26,4,2022-05-27,5,2022-05-28,6,2022-05-29,7,2022-05-30,1,2022-05-31,2
475120,2022-05-02,1,2022-05-03,2,2022-05-04,3,2022-05-05,4,2022-05-06,5,2022-05-07,6,2022-05-08,7,2022-05-09,1,2022-05-10,2,2022-05-11,3,2022-05-12,4,2022-05-13,5,2022-05-14,6,2022-05-15,7,2022-05-16,1,2022-05-17,2,2022-05-18,3,2022-05-19,4,2022-05-20,5,2022-05-21,6,2022-05-22,7,2022-05-23,1,2022-05-24,2,2022-05-25,3,2022-05-26,4,2022-05-27,5,2022-05-28,6,2022-05-29,7,2022-05-30,1,2022-05-31,2
547944,2022-05-02,1,2022-05-03,2,2022-05-04,3,2022-05-05,4,2022-05-06,5,2022-05-07,6,2022-05-08,7,2022-05-09,1,2022-05-10,2,2022-05-11,3,2022-05-12,4,2022-05-13,5,2022-05-14,6,2022-05-15,7,2022-05-16,1,2022-05-17,2,2022-05-18,3,2022-05-19,4,2022-05-20,5,2022-05-21,6,2022-05-22,7,2022-05-23,1,2022-05-24,2,2022-05-25,3,2022-05-26,4,2022-05-27,5,2022-05-28,6,2022-05-29,7,2022-05-30,1,2022-05-31,2
