enrollment_id,username,course_id,problem#num,video#num,access#num,wiki#num,discussion#num,navigate#num,page_close#num,all#num
1,9Uee7oEuuMmgPx2IzPfFkWgkHZyPbWr0,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,4,0,0,1,1,6
16,mPSPvu82Gr17tV9GJ95bDC7exvsVnwDE,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,1,7,0,0,1,1,10
18,b0Hk5D3sJulvyuC4JEm5kvAvOLAxswgQ,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,1,5,0,3,1,2,12
30,JPkczYOxyoDZBjwZAAQHmjpSvnPQzwV0,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,2,0,4,0,0,1,2,9
31,6mzGZyDGSLMvgMQyFwXmz47ojS1kH3j6,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,9,3,7,0,0,0,4,23
53,W2zRYlzk0ei7cx2ruEYRDHanjAoUayvK,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,3,0,0,1,2,6
65,RC5QsgGp5CEBoTIVkfYtUyhSaeGU1kpt,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,2,5,9,1,0,4,8,29
67,H4EpzfhBZTBMvIrjQViqhdqLon30wgHK,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,3,6,0,0,1,5,15
69,TX9kR82HceJr4Au9oXOB8xgM5CWqEcLn,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,4,0,10,0,0,1,1,16
75,gCJybHwzj5IG8eLcBM00cu3kCiCSwLYH,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,3,5,0,0,2,4,14
76,2TH62eGTXodwEhpz0R2r2PGNllCzjSnV,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,6,0,6,0,0,0,0,12
78,ng6pKLw29iNUAUVipg5eDAuNIWs8HjZH,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,3,10,2,1,10,8,34
83,lZHURZFwFLamXhQUkI9XRx59K6BW6H3O,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,1,3,0,0,1,2,7
86,Iy4fBLaa3xsWUPPZMj2gyn2I4d6V8xZn,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,2,7,0,0,2,2,13
88,K4dJPTvUBeOjhny7K2XNlybqij95W1yF,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,2,0,0,1,1,4
