enrollment_id,username,course_id,problem#num,video#num,access#num,wiki#num,discussion#num,navigate#num,page_close#num,all#num
9,J1oRHoSJOInehnrxVdh32dK7QnDuCJWo,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,4,0,20,0,0,2,2,28
18,b0Hk5D3sJulvyuC4JEm5kvAvOLAxswgQ,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,1,2,0,0,0,1,4
20,BoK7CAUaCFqnLgmWLxeOHg8YkXUSeCtc,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,1,3,0,0,2,2,8
75,gCJybHwzj5IG8eLcBM00cu3kCiCSwLYH,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,2,0,0,2,1,5
76,2TH62eGTXodwEhpz0R2r2PGNllCzjSnV,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,12,0,17,0,0,0,1,30
86,Iy4fBLaa3xsWUPPZMj2gyn2I4d6V8xZn,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,1,8,0,0,1,1,11
104,0K6JPqiivQzicxY4EV4nqMLCL3a08A97,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,9,11,28,0,0,13,20,81
106,Kr06RpLFIZX8jjsvbrPgQie93Bb2lOp3,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,1,0,0,0,0,1
111,kSz7SjDszFxZ22xh6dMQDGORUYhPcONc,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,1,2,0,0,6,1,10
151,stvT2CsolCn3U3jDyapEM27xMS89tgmM,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,2,2,0,4
159,FX39OUMp2fc5cOhN2hgQkfpLfm3Fwtwz,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,12,5,28,0,6,4,16,71
162,Ho7uEM7HH6jDYnlCa28KU8YhZ8xXjH83,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,8,0,8,0,0,2,0,18
167,7yFvmsmn9ONFLvVe0ZC5TM9YfzEzN7Z9,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,13,26,1,0,7,17,64
180,BxR5XM6DXnDlyXChlQFtgsFNvTkRDfGo,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,17,0,0,5,1,23
189,hYuJkTfO299GTgsGZVjGUrwFLmSHWt1h,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,1,0,12,0,0,1,0,14
201,DQc7biTrxhx8iOotQIWsbdOkps5WbE4n,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,26,6,28,0,0,0,18,78
208,ovHCQYr9AN11wjsMSXgrrfZYjnsLRPlt,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,2,3,0,0,0,3,8
257,YkREfBnDlxYQaxRY4SP2u9CxRGn95RNs,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,16,0,0,0,2,18
298,CQnS7jwlQX4Rzl8yOMxPSUDxrggdVreZ,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,1,10,0,0,3,8,22
304,HPp2Yy992FcBIXDjeQl0bEftbV1QFRDS,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,6,0,9,0,0,1,7,23
311,Phs10szxdjmMSwQVfL1e6Wco0T8RoIYb,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,2,0,17,0,0,0,9,28
313,brCwcNAlfL4JXRyFAab5FfRlZ9ytcp0g,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,14,17,0,0,1,15,47
319,8T9SDPczeGpl1YlyRoVuHRvQyI1gJpXn,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,0,0,0,1,0,1
321,1T8ttUcZNn49U0rZpO9wSozsY7mAk229,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,19,0,0,1,1,21
327,hPxsCM67DQ94rfwxorx5P1Bjo0HJ8D7R,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,1,0,0,0,1,2
339,a0ZMAjLLdX9TdINN8W76MtSeqY3THmDt,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,3,0,0,1,0,4
351,seRgjh60dHSex83x3yaP07EkHkNZ3zq1,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,3,5,0,0,1,4,13
406,Q5TT9BbBEEHAoUusu0FN5puFxLUESsTd,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,1,15,0,0,0,1,17
414,Hee4h9E1L1VdJtn661iR5WnFK8nf1Kcp,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,19,14,34,0,0,2,18,87
441,hdAPJN0JBPbAnMZk6rHxXrfMydVbwTgr,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,33,0,22,0,0,8,1,64
444,rg0l3pUBiAcI46hJhX4wKGO1BvnF85TB,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,3,0,0,1,1,5
459,kV6Pq6RcEBqeqGR42akGB1gfnAWZKOG4,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,13,0,0,0,0,13
469,qEQGNCv0DTznAP1gMwDRVGTAjB8ymoH3,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,7,2,22,0,0,0,3,34
480,ziHShqavRySQOSf2CYh2UqZ3eTu9WUiK,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,4,0,0,0,0,4
496,QXSmhwMMlZhaTjjWyJS2zLqpzRP9Rt1Q,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,2,4,0,0,2,3,11
522,4dTLQq9TiuqkFkYHxXh4R6fQZxDSd4kq,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,24,10,31,0,0,7,19,91
526,pWZNevyPOl4ouTcnYPIT4PYWT7cW7Aq7,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,12,0,0,3,4,19
532,3kfsZtV93tVXeg8YtF9PTasYswVdOeLx,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,8,0,37,0,0,2,0,47
541,6Hxf9qyf2u7J2XQvTzo0UCKiPFUzAkV8,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,13,4,20,0,0,2,6,45
580,lI1T6GH5teIzoXuk2SnQImyBaJNBXH97,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,3,0,0,1,1,5
606,hED50EZVrg4iRW4iqOekbQhqnICw3N8M,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,1,3,0,0,1,2,7
612,so3pi7qgeQJ7JAg1C34hhIPLz9RKZFJh,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,12,0,0,2,1,15
625,Us17GoF38yQXeldo9R2Nl2WND4V7hYSF,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,12,0,30,0,0,13,0,55
638,jDjX1vZlGMFs58S38mu22QDn7pAnXBNd,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,5,7,16,0,0,3,12,43
654,hZn9gd8yPYt8OJKZabaNhUsV0YAF9PhR,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,1,4,0,0,2,3,10
693,7oWwJtMbeWqy4ZVNUU1OwfFGKdiKHWOR,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,17,19,39,0,0,1,22,98
709,UpJrRBQ59x3Gn5L7s007cXh7Wi1pgqj5,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,2,1,3,5,1,12
715,49JrfQkWJEwIncgqmvRC79F4kx5KhGTo,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,14,2,16,0,2,1,13,48
717,e4CQP0l4IL3HFUHMsZwMHwtF7NZMH4UO,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,1,0,0,0,2,3
728,o0HO6ZVxTkpUPpVWlZVFTpvg1Gj95J7z,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,3,3,28,0,0,1,2,37
761,CppulzTCJRfKKKG0UKVWgPKyZoFp8sVn,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,3,10,0,0,2,4,19
778,DmMJESm0HPPuzZsFzUwdEUeMIsKkPmIB,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,2,1,5,0,4,1,2,15
790,ePaTLgBKhclwas3ClxzVVmTCgYzhx4go,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,8,0,11,0,0,4,0,23
810,3tob5t0ViFTI8UTOPPfmtfX804mICd9d,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,19,0,0,1,1,21
835,3ZzhbGHk0AMavVBVS0pUAaZvWnLoQODp,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,2,0,0,1,1,4
858,1eR532KvihOWCrlFgRH6WOHtkLSsyMIL,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,10,0,0,0,0,10
862,nyD5foCcTX6i5xykxSeCtyCkqJPqvh2E,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,2,0,9,0,0,1,6,18
901,3IQtJvRHW24VuxDTBWQi8QWPxv2JwY3u,DPnLzkJJqOOPRJfBxIHbQEERiYHu5ila,0,0,3,0,0,2,1,6
