user_id,day_id,all#num,0#num,1#num,2#num,3#num,4#num,5#num,register_type,device_type
744025,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,283
1270299,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,259
571220,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,2
1308501,5,14.0,13.0,0.0,0.0,1.0,0.0,0.0,0,23
745554,5,13.0,11.0,1.0,1.0,0.0,0.0,0.0,2,0
1031012,5,56.0,56.0,0.0,0.0,0.0,0.0,0.0,1,650
913297,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,593
266500,5,8.0,8.0,0.0,0.0,0.0,0.0,0.0,0,403
475120,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,135
547944,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,9
916655,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5,10
719262,5,73.0,73.0,0.0,0.0,0.0,0.0,0.0,0,7
1026175,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,10
1140342,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,145
688100,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,214
1342459,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,24
926263,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,96
40710,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,55
246954,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,2
153579,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,21
161418,5,76.0,76.0,0.0,0.0,0.0,0.0,0.0,0,113
649526,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,1359
376694,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,46
1265894,5,17.0,17.0,0.0,0.0,0.0,0.0,0.0,1,8
290029,5,192.0,189.0,0.0,3.0,0.0,0.0,0.0,0,17
926952,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,480
70931,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,11
319938,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,50
711107,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,28
872383,5,92.0,89.0,2.0,1.0,0.0,0.0,0.0,1,162
324085,5,350.0,334.0,13.0,3.0,0.0,0.0,0.0,1,41
720967,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,0
895912,5,278.0,260.0,18.0,0.0,0.0,0.0,0.0,2,8
396421,5,137.0,121.0,1.0,15.0,0.0,0.0,0.0,0,122
605799,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2,1040
374225,5,62.0,61.0,1.0,0.0,0.0,0.0,0.0,1,9
188120,5,19.0,18.0,1.0,0.0,0.0,0.0,0.0,1,63
4416,5,3.0,2.0,1.0,0.0,0.0,0.0,0.0,1,9
245385,5,132.0,74.0,58.0,0.0,0.0,0.0,0.0,1,20
1244564,5,56.0,53.0,2.0,1.0,0.0,0.0,0.0,1,353
321610,5,202.0,197.0,3.0,2.0,0.0,0.0,0.0,0,96
998568,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,19
